site,pd,asym,std.error,lrc,std err,sr95,ci.lwr,ci.upr
ny,1,5305.947,336.2272,-2.955087,0.2444272,58,42,72
ny,2,3693.513,303.5091,-2.671195,0.3673481,43,30,57
ny,3,2358.774,306.4527,-2.704393,0.5699467,44,26,63
pa,1,5563.569,405.3255,-3.33782,0.2338312,84,60,109
pa,2,4480.885,285.3467,-2.650014,0.288209,42,31,54
pa,3,2917.504,279.8401,-2.57488,0.4544357,39,26,53
md,1,7349.167,670.1039,-2.623488,0.4192333,41,27,55
md,2,7623.091,580.8606,-1.752177,0.8597007,17,12,22
md,3,4899.712,767.4785,-2.998095,0.591915,60,32,88
